Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,HV Rank,RSI,Beta,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Owned Position,Final Score
SPCX,132.08,2026-08-14,4,138.0,CALL,SPCX260814C00138000,4.7,4.8,0.384,0.0448,470.0,13208.0,0.0356,0.384,470.0,3.2471,0.0211,835,1759,1.1641,,,NO,,,,unknown,,,,balanced,0.47,0.7192,0.996,0.9298,1.0,1.0,0.3,0.045,0.811,94.7,True,0.9122
PLTR,175.37,2026-08-14,4,182.5,CALL,PLTR260814C00182500,2.43,2.45,0.286,0.0407,243.0,17537.11,0.0139,0.286,243.0,1.2644,0.0082,7662,2583,0.6289,2026-11-02,84.0,NO,135.04,132.6,0.3567,up,1.0,71.1,1.545,balanced,0.243,0.9546,0.9033,0.9727,1.0,0.4619,0.3,0.045,0.7464,56.1,False,0.776
MRVL,219.2,2026-08-14,4,230.0,CALL,MRVL260814C00230000,4.75,5.0,0.323,0.0493,475.0,21920.0,0.0217,0.323,475.0,1.9774,0.0513,1463,5099,0.8955,,,NO,199.56,240.85,-0.0725,neutral,0.5237,60.8,4.288,balanced,0.475,0.9245,0.9051,0.8291,1.0,0.7223,0.3,0.045,0.7962,71.9,False,0.7554
CRWD,224.57,2026-08-14,4,230.0,CALL,CRWD260814C00230000,3.4,3.45,0.35,0.0242,340.0,22456.5,0.0151,0.35,340.0,1.3816,0.0146,581,977,0.5408,,,NO,195.99,185.91,0.1455,up,0.7225,58.4,1.285,balanced,0.34,0.8323,0.5378,0.9513,1.0,0.5047,0.3,0.045,0.6917,47.4,False,0.714
INTC,97.43,2026-08-14,4,102.0,CALL,INTC260814C00102000,1.65,1.75,0.297,0.0469,165.0,9743.0,0.0169,0.297,165.0,1.5453,0.0588,1023,2165,0.7554,2026-10-22,73.0,NO,96.96,110.65,-0.0746,neutral,0.6193,55.8,3.643,balanced,0.165,0.9898,0.9577,0.8039,1.0,0.5645,0.3,0.045,0.731,66.7,False,0.7094
META,595.82,2026-08-14,4,610.0,CALL,META260814C00610000,5.2,5.35,0.295,0.0238,520.0,59582.0,0.0087,0.295,520.0,0.7964,0.0284,2218,1366,0.3915,2026-10-28,79.0,NO,612.27,599.62,-0.1152,neutral,0.754,33.7,1.332,balanced,0.52,0.9819,0.5289,0.9052,1.0,0.2909,0.3,0.045,0.7265,31.6,False,0.7068
NVDA,221.67,2026-08-14,4,227.5,CALL,NVDA260814C00227500,2.05,2.06,0.288,0.0263,205.0,22167.0,0.0092,0.288,205.0,0.8439,0.0049,921,32613,0.4175,2026-08-26,16.0,NO,206.82,206.05,0.0616,up,0.8214,66.0,1.867,balanced,0.205,0.9596,0.5845,0.9838,1.0,0.3083,0.3,0.045,0.681,35.1,False,0.7058
ORCL,148.92,2026-08-14,4,155.0,CALL,ORCL260814C00155000,2.05,2.06,0.285,0.0408,205.0,14892.0,0.0138,0.285,205.0,1.2561,0.0049,2325,9557,0.6265,,,NO,129.47,159.92,0.0454,neutral,0.3579,66.3,2.366,balanced,0.205,0.9489,0.9073,0.9838,1.0,0.4589,0.3,0.045,0.7394,52.6,False,0.693
AMZN,275.28,2026-08-14,4,280.0,CALL,AMZN260814C00280000,2.29,2.35,0.324,0.0171,229.0,27528.0,0.0083,0.324,229.0,0.7591,0.0259,1249,11593,0.332,2026-10-29,80.0,NO,251.59,247.51,0.1188,up,0.9941,64.0,1.363,balanced,0.229,0.9193,0.381,0.9138,1.0,0.2773,0.3,0.045,0.6338,26.3,False,0.6826
GOOGL,353.52,2026-08-14,4,360.0,CALL,GOOGL260814C00360000,2.53,2.71,0.306,0.0183,253.0,35352.0,0.0072,0.306,253.0,0.653,0.0687,557,6415,0.3208,2026-10-28,79.0,NO,348.76,356.47,-0.0081,neutral,0.9998,52.8,1.58,balanced,0.253,0.9806,0.4073,0.771,1.0,0.2386,0.3,0.045,0.6269,24.6,False,0.651
MSFT,507.91,2026-08-14,4,515.0,CALL,MSFT260814C00515000,3.55,3.8,0.331,0.014,355.0,50791.0,0.007,0.331,355.0,0.6378,0.068,378,1640,0.2822,2026-10-28,79.0,NO,423.84,407.01,0.2983,up,0.9888,82.4,0.915,balanced,0.355,0.8951,0.3102,0.7567,1.0,0.233,0.3,0.045,0.6105,15.8,False,0.6469
SNOW,339.24,2026-08-14,4,350.0,CALL,SNOW260814C00350000,4.65,5.1,0.316,0.0317,465.0,33924.5,0.0137,0.316,465.0,1.2508,0.0923,119,1764,0.5767,,,NO,285.48,262.2,0.2641,up,0.1249,82.7,0.34,balanced,0.465,0.9453,0.7045,0.4816,1.0,0.4569,0.3,0.045,0.677,50.9,False,0.6384
ARM,270.05,2026-08-14,4,290.0,CALL,ARM260814C00290000,4.2,4.65,0.242,0.0739,420.0,27005.5,0.0156,0.242,420.0,1.4192,0.1017,430,1318,0.9044,,,NO,267.64,322.21,-0.1262,neutral,0.6755,54.1,4.438,balanced,0.42,0.8071,0.3588,0.661,1.0,0.5184,0.3,0.045,0.6301,73.7,False,0.6352
DELL,466.23,2026-08-14,4,500.0,CALL,DELL260814C00500000,5.0,5.5,0.202,0.0724,500.0,46623.0,0.0107,0.202,500.0,0.9786,0.0952,396,896,0.7578,,,NO,421.74,415.48,0.0449,up,0.6015,60.2,2.198,balanced,0.5,0.673,0.3904,0.6795,1.0,0.3575,0.3,0.045,0.5976,68.4,False,0.6307
QQQ,722.63,2026-08-14,4,730.0,CALL,QQQ260814C00730000,3.33,3.38,0.317,0.0102,333.0,72263.0,0.0046,0.317,333.0,0.4205,0.0149,616,10936,0.1887,,,NO,700.34,714.31,-0.0034,neutral,0.6614,60.0,1.578,balanced,0.333,0.9434,0.2266,0.9503,1.0,0.1536,0.3,0.045,0.6307,5.3,False,0.6212
IBM,240.2,2026-08-14,4,245.0,CALL,IBM260814C00245000,1.53,1.63,0.283,0.02,153.0,24020.0,0.0064,0.283,153.0,0.5812,0.0633,622,685,0.3109,,,NO,224.2,259.05,-0.1749,neutral,0.971,72.3,0.368,balanced,0.153,0.9424,0.4441,0.7459,1.0,0.2123,0.3,0.045,0.5939,21.1,False,0.6147
PANW,380.23,2026-08-14,4,400.0,CALL,PANW260814C00400000,2.42,2.65,0.18,0.052,242.0,38022.5,0.0064,0.18,242.0,0.5808,0.0907,624,1094,0.5078,,,NO,341.64,315.95,0.1164,up,0.6506,52.5,1.417,balanced,0.242,0.5987,0.8443,0.6976,1.0,0.2122,0.3,0.045,0.5674,40.4,False,0.606
AAPL,306.8,2026-08-14,4,310.0,CALL,AAPL260814C00310000,2.18,2.24,0.359,0.0104,218.0,30680.0,0.0071,0.359,218.0,0.6484,0.0271,1806,8536,0.2512,2026-10-29,80.0,NO,323.43,309.79,-0.0063,neutral,0.9062,37.2,0.46,balanced,0.218,0.8026,0.2318,0.9095,1.0,0.2369,0.3,0.045,0.5775,7.0,False,0.5937
CRM,193.69,2026-08-14,4,197.5,CALL,CRM260814C00197500,2.43,2.72,0.362,0.0197,243.0,19369.0,0.0125,0.362,243.0,1.1448,0.1126,294,451,0.4778,,,NO,176.72,172.06,0.1801,up,0.7282,63.4,-0.153,balanced,0.243,0.7938,0.4371,0.4142,1.0,0.4182,0.3,0.045,0.5442,38.6,False,0.5894
QCOM,166.49,2026-08-14,4,170.0,CALL,QCOM260814C00170000,2.42,2.63,0.362,0.0211,242.0,16648.5,0.0145,0.362,242.0,1.3264,0.0832,2617,2393,0.5117,,,NO,166.39,191.69,-0.1126,neutral,0.3741,47.7,2.589,balanced,0.242,0.7932,0.4692,0.7228,1.0,0.4845,0.3,0.045,0.611,42.1,False,0.5884
CSCO,124.33,2026-08-14,4,130.0,CALL,CSCO260814C00130000,2.34,2.58,0.315,0.0456,234.0,12433.5,0.0188,0.315,234.0,1.7173,0.0976,122,819,0.8035,2026-08-12,2.0,YES,115.27,117.65,0.001,neutral,0.4081,73.6,1.115,balanced,0.234,0.9493,0.9875,0.4663,0.0,0.6273,0.3,0.045,0.5754,70.2,False,0.5711
DDOG,245.69,2026-08-14,4,250.0,CALL,DDOG260814C00250000,3.95,4.3,0.389,0.0175,395.0,24569.0,0.0161,0.389,395.0,1.467,0.0848,123,237,0.5217,,,NO,259.15,249.08,-0.0917,neutral,0.7016,40.9,0.462,balanced,0.395,0.7022,0.3898,0.2983,1.0,0.5359,0.3,0.045,0.5417,43.9,False,0.5622
GLD,396.77,2026-08-14,4,404.0,CALL,GLD260814C00404000,2.11,2.26,0.274,0.0182,211.0,39677.0,0.0053,0.274,211.0,0.4853,0.0686,163,1939,0.2716,,,NO,374.87,382.34,0.0569,neutral,0.335,72.2,1.069,balanced,0.211,0.9124,0.4049,0.5934,1.0,0.1773,0.3,0.045,0.5616,14.0,False,0.5388
UNH,411.37,2026-08-14,4,420.0,CALL,UNH260814C00420000,2.45,2.65,0.272,0.021,245.0,41137.0,0.006,0.272,245.0,0.5435,0.0784,160,2563,0.3093,2026-10-27,78.0,NO,420.27,412.26,-0.0413,neutral,0.0726,39.7,0.043,balanced,0.245,0.9053,0.4662,0.5586,1.0,0.1985,0.3,0.045,0.5711,19.3,False,0.5252
