Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,HV Rank,RSI,Beta,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Owned Position,Final Score
PANW,375.48,2026-09-04,4,400.0,CALL,PANW260904C00400000,10.0,10.95,0.319,0.0653,1000.0,37548.0,0.0266,0.319,1000.0,2.4302,0.0907,136,1243,1.13,,,NO,366.86,343.42,0.1198,up,1.0,52.1,1.923,income,1.0,0.839,0.0,0.4997,1.0,0.8878,0.38,0.025,0.7787,92.7,False,0.8167
AVGO,369.02,2026-09-04,4,380.0,CALL,AVGO260904C00380000,9.6,10.0,0.388,0.0298,960.0,36901.73,0.026,0.388,960.0,2.3739,0.0408,137,2700,0.8376,,,NO,391.06,386.09,-0.0526,neutral,0.3749,22.2,2.349,income,0.96,0.9788,0.8095,0.6667,1.0,0.8672,0.38,0.025,0.891,78.2,False,0.7944
CRWD,226.38,2026-09-04,4,235.0,CALL,CRWD260904C00235000,5.35,5.8,0.358,0.0381,535.0,22638.0,0.0236,0.358,535.0,2.1565,0.0807,1862,3324,0.8595,,,NO,208.95,196.23,0.1443,up,1.0,51.4,1.962,income,0.535,0.9417,0.4769,0.7309,1.0,0.7878,0.38,0.025,0.7337,85.5,False,0.7798
DELL,467.66,2026-09-04,4,500.0,CALL,DELL260904C00500000,12.8,13.25,0.313,0.0692,1280.0,46766.0,0.0274,0.313,1280.0,2.4975,0.0345,122,1901,1.1551,,,NO,457.95,432.88,0.1255,neutral,0.3576,50.3,3.045,income,1.0,0.8231,0.0,0.6763,1.0,0.9123,0.38,0.025,0.8073,94.5,False,0.7444
MRVL,212.16,2026-09-04,4,217.5,CALL,MRVL260904C00217500,4.3,4.45,0.377,0.0252,430.0,21216.0,0.0203,0.377,430.0,1.8494,0.0343,398,577,0.6658,,,NO,224.16,228.54,0.1549,neutral,0.4457,48.7,4.615,income,0.43,0.9915,0.9932,0.8006,1.0,0.6756,0.38,0.025,0.7511,61.8,False,0.7028
MU,949.42,2026-09-04,4,975.0,CALL,MU260904C00975000,10.15,10.55,0.306,0.0269,1015.0,94942.0,0.0107,0.306,1015.0,0.9755,0.0386,162,1010,0.4669,,,NO,920.87,954.97,0.1334,neutral,0.1098,57.3,4.486,income,1.0,0.8042,0.9223,0.6927,1.0,0.3564,0.38,0.025,0.7818,25.5,False,0.6859
PLTR,184.79,2026-09-04,4,190.0,CALL,PLTR260904C00190000,2.12,2.15,0.305,0.0282,212.0,18479.0,0.0115,0.305,212.0,1.0469,0.0141,2301,19300,0.4866,2026-11-02,63.0,NO,171.02,143.75,0.5138,up,0.8915,63.1,1.963,income,0.212,0.803,0.8722,0.9532,1.0,0.3824,0.38,0.025,0.61,29.1,False,0.6611
NOW,144.83,2026-09-04,4,148.0,CALL,NOW260904C00148000,3.2,3.4,0.399,0.0219,320.0,14483.0,0.0221,0.399,320.0,2.0162,0.0606,113,250,0.6902,,,NO,125.48,112.08,0.301,up,0.4363,69.3,0.662,income,0.32,0.95,0.8755,0.3765,1.0,0.7365,0.38,0.025,0.6489,65.5,False,0.6546
META,571.77,2026-09-04,4,580.0,CALL,META260904C00580000,6.1,6.5,0.371,0.0144,610.0,57176.95,0.0107,0.371,610.0,0.9735,0.0635,192,2835,0.3761,2026-10-28,58.0,NO,575.77,592.14,0.0383,neutral,0.4493,45.2,0.989,income,0.61,0.9761,0.5758,0.6324,1.0,0.3556,0.38,0.025,0.6716,20.0,False,0.6527
COIN,177.21,2026-09-04,4,182.5,CALL,COIN260904C00182500,3.35,3.7,0.358,0.0299,335.0,17721.0,0.0189,0.358,335.0,1.725,0.0993,192,612,0.6897,2026-10-29,59.0,NO,161.42,160.38,0.2214,up,0.504,61.5,2.05,income,0.335,0.9422,0.8059,0.4425,1.0,0.6301,0.38,0.025,0.6348,63.6,False,0.6478
